SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGZ,DMDHREDZ,DMDHRMAZ,DMDHSEDZ,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,gender_f,edu_f,language_f
97280,10,2,1,48,.,1,1,1,.,2,.,2,2,7,.,2,5,.,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,1,3,1,3,.,15208.456380557016,16358.516968333599,2,148,8,5,1.89,Male,<HS,Spanish
97281,10,2,2,11,.,1,1,2,142,.,.,1,1,.,4,.,.,.,1,1,2,1,2,2,1,2,2,.,3,3,0,2,0,2,2,1,2,.,15614.149473896417,19989.926581138458,1,145,2,2,0.42,Female,<HS,English
97282,10,2,2,65,.,4,4,1,.,2,.,1,1,.,.,2,6,.,1,2,2,1,2,2,1,2,2,1,7,7,2,3,1,2,4,1,1,2,11701.68023057062,11265.869295561353,2,144,4,4,0.42,Female,<HS,English
97283,10,1,1,52,.,5,6,.,.,2,.,2,1,8,.,5,1,.,1,2,2,1,2,2,.,.,.,.,4,4,1,1,0,1,3,3,1,3,11059.5916030186,0,2,135,15,15,5,Male,College,English
97284,10,2,2,52,.,3,3,2,.,2,.,1,1,.,.,4,5,.,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,2,3,2,3,.,198906.42176781912,196978.68437195395,1,135,2,2,0.75,Female,HS,English
97285,10,2,1,19,.,2,2,1,234,2,.,2,2,77,66,.,.,.,2,2,2,2,2,2,.,.,.,.,3,1,0,0,1,1,1,1,.,.,18660.49443517303,19333.557546683514,1,144,77,77,.,Male,<HS,Spanish
97286,10,2,1,2,.,3,3,1,29,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,4,4,2,0,0,1,2,3,1,3,54500.244756503445,61617.4448039347,1,144,15,15,5,Male,College,English
97287,10,2,2,17,.,5,7,1,215,2,.,1,1,.,10,.,.,.,1,2,2,1,2,2,1,2,2,1,3,3,0,1,1,2,3,2,2,.,21815.484499717397,22351.101841288437,2,137,7,7,1.68,Female,HS,English
97288,10,2,2,3,.,2,2,1,41,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,2,2,1,0,0,2,1,1,.,.,27347.566441642015,27203.551471648894,1,146,3,3,0.74,Female,<HS,English
97289,10,2,2,48,.,3,3,2,.,2,.,1,1,.,.,4,3,.,1,2,2,1,2,2,1,2,2,1,2,2,0,1,0,2,3,2,2,.,106802.79377950258,131802.2952969847,1,140,14,14,4.86,Female,HS,English
97290,10,2,1,11,.,5,6,2,143,.,.,1,1,.,6,.,.,.,1,1,2,1,2,2,1,2,2,.,3,3,0,1,1,2,4,.,1,.,10720.583015271563,11685.023567190321,2,134,15,15,5,Male,.,English
97291,10,2,2,11,.,1,1,1,136,.,.,1,1,.,5,.,.,.,2,1,2,2,2,2,1,2,2,.,7,7,2,3,1,2,3,1,1,.,39067.02510376001,49657.57262337194,2,144,99,99,.,Female,<HS,Spanish
97292,10,2,1,15,.,4,4,2,191,.,.,1,1,.,8,.,.,.,1,1,2,1,2,2,1,2,2,1,6,6,0,3,0,1,2,2,1,2,10300.04416888352,12449.862672970525,1,147,7,7,1.14,Male,HS,English
